"pop","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
339996.563,840,26695150000000,18624475000000,"United States",78515.94076261294,"North America",1
1425671.352,156,21865482000000,11218281029298,"China",15336.97227578155,"Asia",2
123294.513,392,5291351000000,4936211827875,"Japan",42916.35427441933,"Asia",3
83294.633,276,4564778000000,3477796274497,"Germany",54802.78663332366,"Europe",4
1428627.663,356,3893670000000,2259642382872,"India",2725.4617146525184,"Asia",5
67736.802,826,3686935000000,2647898654635,"United Kingdom",54430.308062078286,"Europe",6
64756.584,250,3086226000000,2465453975282,"France",47658.87589129161,"Europe",7
38781.291,124,2362318000000,1529760492201,"Canada",60913.85663257059,"North America",8
58870.762,380,2169384000000,1858913163928,"Italy",36849.93919392448,"Europe",9
216422.446,76,1980483000000,1795925681016,"Brazil",9151.00552925088,"South America",10
51784.059,410,1919562000000,1411245589977,"South Korea",37068.58900342285,"Asia",11
26439.111,36,1828394000000,1304463104965,"Australia",69154.89707653181,"Oceania",12
89172.767,364,1782602000000,425402616011,"Iran",19990.43048647352,"Asia",13
144444.359,643,1713154000000,1246015056927,"Russia",11860.303938902867,"Europe",14
47519.628,724,1519090000000,1237255019654,"Spain",31967.632406549987,"Europe",15
277534.122,360,1410748000000,932259177621,"Indonesia",5083.151541272464,"Asia",16
128455.567,484,1379727000000,1076914464477,"Mexico",10740.889104479216,"North America",17
17618.299,528,1072789000000,777227541581,"Netherlands",60890.61151703692,"Europe",18
36947.025,682,1021905000000,639617050945,"Saudi Arabia",27658.654519545213,"Asia",19
23923.276,158,892516000000,0,"Taiwan",37307.43230985589,"Asia",20
8796.669,756,888199000000,668851296244,"Switzerland",100969.92395644306,"Europe",21
41026.067,616,755645000000,471402266588,"Poland",18418.655631796242,"Europe",22
85816.199,792,714305000000,863711710542,"Turkey",8323.661596804119,"Europe",23
10612.086,752,669872000000,514475856961,"Sweden",63123.49899916002,"Europe",24
11686.14,56,639716000000,467955267357,"Belgium",54741.42873523678,"Europe",25
223804.632,566,580121000000,404649125399,"Nigeria",2592.0866552931757,"Africa",26
45773.884,32,573633000000,545866164479,"Argentina",12531.883901309315,"South America",27
5056.935,372,562134000000,304819019837,"Ireland",111161.00958386848,"Europe",28
71801.279,764,556372000000,407026319505,"Thailand",7748.7756172142845,"Asia",29
5474.36,578,549732999999.99994,371068933176,"Norway",100419.59242724263,"Europe",30
9174.52,376,547765000000,317747579750,"Israel",59705.03088989942,"Asia",31
8958.96,40,518808000000,390799991147,"Austria",57909.4001982373,"Europe",32
9516.871,784,506234000000,348743627620,"United Arab Emirates",53193.32373003691,"Asia",33
34308.525,458,481988000000,296531469473,"Malaysia",14048.63659979553,"Asia",34
98858.95,704,462644000000,205276171343,"Vietnam",4679.839306405743,"Asia",35
6014.723,702,450999000000,296946278392,"Singapore",74982.50542876206,"Asia",36
112716.598,818,450361000000,270143813412,"Egypt",3995.5162592824176,"Africa",37
60414.495,710,447720000000,295440009818,"South Africa",7410.804311117721,"Africa",38
117337.368,608,445827000000,304905638877,"Philippines",3799.5312797539486,"Asia",39
172954.319,50,438436000000,220836732893,"Bangladesh",2534.981505723485,"Asia",40
5910.913,208,419266000000,306899653410,"Denmark",70930.83589624817,"Europe",41
7491.609,344,391338000000,320912235499,"Hong Kong",52236.84257947791,"Asia",42
52085.168,170,370470000000,282462551367,"Colombia",7112.77344828762,"South America",43
19629.59,152,351036000000,247045730477,"Chile",17883.002141155266,"South America",44
10495.295,203,318938000000,195305084919,"Czech Republic",30388.664634962617,"Europe",45
5545.475,246,314502000000,238502900312,"Finland",56713.26622155902,"Europe",46
19892.812,642,312694000000,186690976699,"Romania",15718.944109058084,"Europe",47
45504.56,368,299409000000,160021001474,"Iraq",6579.758160500838,"Asia",48
5228.1,554,276720000000,187517098554,"New Zealand",52929.362483502606,"Oceania",49
10247.605,620,267241000000,204836597909,"Portugal",26078.386120464245,"Europe",50
34352.719,604,257959999999.99997,192209529586,"Peru",7509.158154264295,"South America",51
10341.277,300,234808000000,192690813127,"Greece",22705.8998613034,"Europe",52
2716.391,634,228356000000,152451923077,"Qatar",84065.95368634339,"Asia",53
19606.633,398,225928000000,135005203998,"Kazakhstan",11523.039167408293,"Europe",54
10156.239,348,219463000000,125816640421,"Hungary",21608.688019255947,"Europe",55
45606.48,12,199382000000,159049145187,"Algeria",4371.791026187507,"Africa",56
4310.108,414,180665000000,110346129191,"Kuwait",41916.583064739905,"Asia",57
37840.044,504,142967000000,103606574896,"Morocco",3778.1932811706033,"Africa",58
36684.202,24,133335000000.00002,106917535790,"Angola",3634.670859134404,"Africa",59
